Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
onEvent,2,True,False,True,True,False
dispose,1,True,True,True,True,False
update,1,True,True,True,True,False
onEvent,2,True,False,True,True,False
dispose,1,True,True,True,True,False
update,1,True,True,True,True,False
doClip,2,True,True,True,True,False
Clipper,1,True,False,True,False,False
drawText,2,True,True,True,True,False
buildRectPath,3,True,True,True,True,False
drawBorder,2,True,True,True,True,False
drawElement,2,True,True,True,True,False
html2canvas,3,False,False,False,False,False
traverse,1,True,True,True,True,False
htmlevent,2,False,False,True,False,False
isFbxFormatBinary,4,False,False,True,True,False
read,1,True,True,True,True,False
isFbxFormatASCII,4,False,False,True,True,False
getFbxVersion,3,False,True,True,True,False
convertFBXTimeToSeconds,5,False,True,True,True,False
getData,2,True,True,True,True,False
generateTransform,2,True,True,True,True,False
getEulerOrder,3,False,True,True,True,False
parseNumberArray,3,True,True,True,True,False
convertArrayBufferToString,5,True,True,True,True,False
append,1,True,True,True,True,False
slice,1,True,True,True,True,False
inject,1,True,True,True,True,False
_onError,2,True,False,True,True,False
GLTFRegistry,2,False,False,True,False,False
onerror,2,True,False,True,False,False
onerror,2,True,False,True,False,False
createDefaultMaterial,3,True,True,True,True,False
addUnknownExtensionsToUserData,6,True,True,True,True,False
assignExtrasToUserData,5,True,True,True,True,False
addMorphTargets,3,True,True,True,True,False
updateMorphTargets,3,True,True,True,True,False
createPrimitiveKey,3,True,True,True,True,False
createAttributesKey,3,True,True,True,True,False
getNormalizedComponentScale,4,True,True,True,True,False
getImageURIMimeType,5,False,True,True,True,False
updateMappings,2,True,True,True,True,False
createDracoPrimitive,3,False,True,True,True,False
reduceAssociations,2,True,True,True,True,False
InterpolantFactoryMethodGLTFCubicSpline,6,False,False,True,False,False
InterpolantFactoryMethodGLTFCubicSpline,6,False,False,True,False,False
computeBounds,2,True,True,True,True,False
assignAttributeAccessor,3,False,True,True,True,False
addPrimitiveAttributes,3,True,True,True,True,False
handleDown,2,True,True,True,True,False
handleUp,2,True,True,True,True,False
forceCast,2,True,True,True,True,False
isEmpty,2,True,False,True,True,False
deepEqualsArray,3,True,True,True,True,False
fn,1,False,False,True,True,False
ClassName,2,True,False,True,False,False
compose,1,True,True,True,True,False
extractValue,2,True,True,True,True,False
bindValue,2,True,True,True,True,False
bindValueMap,3,True,True,True,True,False
applyClass,2,True,True,True,True,False
valueToClassName,4,True,False,True,True,False
bindValueToTextContent,5,True,True,True,True,False
createValue,2,True,True,True,True,False
parseObject,2,True,True,True,True,False
parseArray,2,True,True,True,True,False
isObject,2,True,True,True,True,False
createParamsParserBuilder,4,False,True,True,True,False
createParamsParserBuilders,4,False,True,True,True,False
parseParams,2,False,True,True,True,False
disposeElement,2,True,True,True,True,False
getAllBladePositions,4,True,True,True,True,False
forceReflow,2,True,False,True,True,False
disableTransitionTemporarily,3,True,False,True,True,False
supportsTouch,2,True,True,True,True,False
getGlobalObject,3,True,True,True,True,False
getWindowDocument,3,True,True,True,True,False
getCanvasContext,3,True,True,True,True,False
createSvgIconElement,4,False,True,True,True,False
insertElementAt,3,True,False,True,True,False
removeElement,2,True,True,True,True,False
removeChildElements,3,True,True,True,True,False
removeChildNodes,3,True,True,True,True,False
findNextTarget,3,True,True,True,True,False
createLabelNode,3,True,True,True,True,False
createBlade,2,True,True,True,True,False
onExpand,2,True,True,True,True,False
computeExpandedFolderHeight,4,True,True,True,True,False
applyHeight,2,True,True,True,True,False
bindFoldable,2,True,True,True,True,False
addButtonAsBlade,4,True,True,True,True,False
addFolderAsBlade,4,True,True,True,True,False
addSeparatorAsBlade,4,True,True,True,True,False
addTabAsBlade,4,True,True,True,True,False
findSubBladeApiSet,5,False,True,True,True,False
getApiByController,4,False,True,True,True,False
createBindingTarget,3,True,True,True,True,False
findInputBindingController,4,True,True,True,True,False
findMonitorBindingController,4,True,True,True,True,False
findValueBladeController,4,True,True,True,True,False
findSubRack,3,True,True,True,True,False
findSubBladeControllerSet,5,True,True,True,True,False
valueToModifier,3,True,False,True,True,False
createBladeController,3,True,True,True,True,False
findConstraint,2,True,True,True,True,False
boolToString,3,False,False,True,True,False
boolFromUnknown,3,False,False,True,True,False
BooleanFormatter,2,True,False,True,False,False
combineReader,2,True,True,True,True,False
readWhitespace,2,True,True,True,True,False
readNonZeroDigit,4,False,True,True,True,False
readDecimalDigits,3,True,True,True,True,False
readSignedInteger,3,True,True,True,True,False
readExponentPart,3,True,True,True,True,False
readDecimalIntegerLiteral,4,True,True,True,True,False
readDecimalLiteral1,4,True,True,False,False,False
readDecimalLiteral2,4,True,True,False,False,False
readDecimalLiteral3,4,True,True,False,False,False
parseBinaryDigits,3,True,True,True,True,False
readBinaryIntegerLiteral,4,True,True,True,True,False
readOctalDigits,3,True,True,True,True,False
readOctalIntegerLiteral,4,True,True,True,True,False
readHexDigits,3,True,True,True,True,False
readHexIntegerLiteral,4,True,True,True,True,False
parseLiteral,2,True,True,True,True,False
parseParenthesizedExpression,5,False,True,True,False,False
parsePrimaryExpression,3,True,True,True,True,False
parseUnaryExpression,3,True,True,True,True,False
readBinaryOperator,3,True,True,True,True,False
createBinaryOperationExpressionParser,5,True,True,True,True,False
parseExpression,2,True,True,True,True,False
parseEcmaNumberExpression,4,False,True,True,True,False
parseNumber,2,True,True,True,True,False
numberFromUnknown,3,True,False,True,True,False
numberToString,3,True,False,True,True,False
createNumberFormatter,3,True,True,True,True,False
formatPercentage,2,True,False,True,True,False
stringFromUnknown,3,True,False,True,True,False
formatString,2,True,False,True,True,False
fillBuffer,2,True,True,True,True,False
initializeBuffer,2,True,False,True,True,False
createTrimmedBuffer,3,True,True,True,True,False
createPushedBuffer,3,True,True,True,True,False
preventFeedback,2,True,True,True,True,False
connectValues,2,True,True,True,True,False
getStepForKey,4,True,True,True,True,False
getVerticalStepKeys,4,True,True,True,True,False
getHorizontalStepKeys,4,True,True,True,True,False
isVerticalArrowKey,4,True,False,True,True,False
isArrowKey,3,True,False,True,True,False
computeOffset$1,3,True,True,False,False,False
mapRange,2,True,False,True,True,False
getDecimalDigits,3,True,True,True,True,False
constrainRange,2,True,True,True,True,False
loopRange,2,True,False,True,True,False
writePrimitive,2,True,True,True,True,False
parseListOptions,3,True,True,True,True,False
parsePickerLayout,3,True,True,True,True,False
parsePointDimensionParams,4,False,True,True,True,False
normalizeListOptions,3,True,True,True,True,False
createListConstraint,3,True,True,True,True,False
findListItems,3,True,True,True,True,False
findStep,2,True,True,True,True,False
getSuitableDecimalDigits,4,True,True,True,True,False
getBaseStep,3,True,True,True,True,False
getSuitableDraggingScale,4,True,True,True,True,False
createConstraint$6,3,True,True,False,False,False
rgbToHslInt,4,False,True,True,True,False
hslToRgbInt,4,False,True,True,True,False
rgbToHsvInt,4,False,True,True,True,False
hsvToRgbInt,4,False,True,True,True,False
hslToHsvInt,4,False,True,True,True,False
hsvToHslInt,4,False,True,True,True,False
removeAlphaComponent,3,True,True,True,True,False
appendAlphaComponent,3,True,True,True,True,False
getColorMaxComponents,4,True,True,True,True,False
constrainColorComponents,3,True,True,True,True,False
convertColorType,3,True,True,True,True,False
convertColor,2,True,True,True,True,False
isRgbColorComponent,4,False,False,True,True,False
parseColorType,3,True,True,True,True,False
parseColorInputParams,4,False,True,True,True,False
getBaseStepForColor,5,True,True,True,True,False
extractColorType,3,True,True,True,True,False
equalsStringColorFormat,4,True,True,True,True,False
parseCssNumberOrPercentage,5,False,True,True,True,False
parseCssNumberOrAngle,5,False,True,True,True,False
parseFunctionalRgbColorComponents,5,False,True,True,True,False
createFunctionalRgbColorParser,5,False,True,True,True,False
parseFunctionalRgbaColorComponents,5,False,True,True,True,False
createFunctionalRgbaColorParser,5,False,True,True,True,False
parseHslColorComponents,4,False,True,True,True,False
createHslColorParser,4,False,True,True,True,False
parseHslaColorComponents,5,False,True,False,False,False
createHslaColorParser,5,False,True,False,False,False
parseHexRgbColorComponents,5,False,True,True,True,False
parseHexRgbColor,4,False,True,True,True,False
parseHexRgbaColorComponents,5,False,True,True,True,False
parseHexRgbaColor,4,False,True,True,True,False
parseObjectRgbColorComponents,5,False,True,True,True,False
createObjectRgbColorParser,5,False,True,True,True,False
parseObjectRgbaColorComponents,5,False,True,True,True,False
createObjectRgbaColorParser,5,False,True,True,True,False
detectStringColor,3,True,True,True,True,False
detectStringColorFormat,4,True,True,True,True,False
createColorStringBindingReader,5,True,True,True,True,False
createColorStringParser,4,True,True,True,True,False
zerofill,2,True,True,True,False,False
colorToHexRgbString,5,False,False,True,True,False
colorToHexRgbaString,5,False,False,True,True,False
colorToFunctionalRgbString,5,False,False,True,True,False
createFunctionalRgbColorFormatter,5,False,True,True,True,False
colorToFunctionalRgbaString,5,False,False,True,True,False
createFunctionalRgbaColorFormatter,5,False,True,True,True,False
colorToFunctionalHslString,5,False,False,True,True,False
colorToFunctionalHslaString,6,False,False,False,False,False
colorToObjectRgbString,5,False,True,True,True,False
createObjectRgbColorFormatter,5,False,True,True,True,False
colorToObjectRgbaString,5,False,True,True,True,False
createObjectRgbaColorFormatter,5,False,True,True,True,False
findColorStringifier,6,False,True,True,False,False
createModeSelectElement,4,True,True,True,True,False
createFormatter$2,3,True,True,False,False,False
createConstraint$5,3,True,True,False,False,False
createComponentController,3,True,True,True,True,False
colorFromObject,3,True,True,True,True,False
colorToRgbNumber,4,False,False,True,True,False
colorToRgbaNumber,4,False,False,True,True,False
numberToRgbColor,4,False,False,True,True,False
numberToRgbaColor,4,False,False,True,True,False
colorFromRgbNumber,4,False,False,True,True,False
colorFromRgbaNumber,4,False,False,True,True,False
createColorStringWriter,4,True,True,True,True,False
createColorNumberWriter,4,True,True,True,True,False
writeRgbaColorObject,4,False,True,True,True,False
writeRgbColorObject,4,False,True,True,True,False
createColorObjectWriter,4,True,True,True,True,False
shouldSupportAlpha$1,4,True,False,False,False,False
createFormatter$1,3,True,True,False,False,False
isForColor,3,True,False,True,True,False
shouldSupportAlpha,3,True,False,True,True,False
createColorObjectReader,4,True,True,True,True,False
createColorObjectFormatter,4,True,True,True,True,False
createAxisController,3,True,True,True,True,False
createStepConstraint,3,True,True,True,True,False
createRangeConstraint,3,True,True,True,True,False
createConstraint$4,3,True,True,False,False,False
findRange,2,True,True,True,True,False
estimateSuitableRange,3,True,True,True,True,False
computeOffset,2,True,True,True,True,False
point2dFromUnknown,5,True,True,False,False,False
writePoint2d,4,True,True,False,False,False
createDimensionConstraint,3,True,True,True,True,False
createConstraint$3,3,True,True,False,False,False
getSuitableMaxDimensionValue,5,True,True,True,True,False
