Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
fetchNoRetry,3,True,True,True,True,False
fetch_retry,2,True,True,True,False,True
fetchWithRetry,3,True,True,True,True,False
prompt,1,True,True,True,True,False
main,1,True,False,True,True,False
deployContract,2,True,True,True,True,False
retrieveContract,2,True,False,True,True,False
retrieveABI,2,False,False,True,True,False
main,1,True,False,True,True,False
saveProjectPreviewImage,4,True,True,True,True,False
loadImg,2,False,False,True,True,False
saveProjectPreviewGIF,4,False,True,True,True,False
handler,1,True,False,True,True,False
onclick,2,True,True,True,False,False
onclick,2,True,True,True,False,False
updateConnectStatus,3,True,True,True,True,False
checkChain,2,True,True,True,True,False
onclick,2,True,True,True,False,False
onclick,2,True,True,True,False,False
onclick,2,True,True,True,False,False
onchange,1,False,False,True,True,False
onkeyup,3,True,False,True,False,False
loadInfo,2,True,False,True,True,False
setTotalPrice,3,True,True,True,True,False
mint,1,True,False,True,True,False
countdown,1,True,False,True,True,False
adopt,1,True,True,True,True,False
fulfilled,1,True,True,True,True,False
rejected,1,True,True,True,True,False
step,1,True,False,True,True,False
__awaiter,1,False,False,True,True,False
verb,1,True,False,True,True,False
step,1,True,False,True,True,False
__generator,1,True,False,True,True,False
Onboarding,2,False,False,True,False,False
_onMessage,2,True,False,True,True,False
_onMessageUnknownStateError,5,True,False,True,True,False
_onMessageFromForwarder,4,True,False,True,True,False
startOnboarding,3,False,True,True,False,False
stopOnboarding,3,False,True,True,False,False
_openForwarder,2,True,True,True,True,False
_openDownloadPage,3,True,True,True,True,False
isMetaMaskInstalled,4,True,True,True,True,False
_register,1,True,True,True,True,False
_injectForwarder,2,True,True,True,True,False
_removeForwarder,2,True,True,True,True,False
_detectBrowser,2,True,True,True,True,False
At,1,True,False,True,False,False
I,1,True,False,False,False,False
r,1,True,False,False,True,False
D,1,True,False,False,False,False
O,1,True,False,False,False,False
u,1,True,False,False,True,False
y,1,True,False,False,True,False
w,1,True,False,False,True,False
b,1,True,False,False,True,False
x,1,True,True,False,True,False
k,1,True,False,False,True,False
s,1,True,False,False,True,False
E,1,True,False,False,False,False
A,1,True,False,False,False,False
L,1,True,False,False,False,False
S,1,True,False,False,False,False
W,1,True,False,False,False,False
z,1,True,False,False,True,False
P,1,True,False,False,False,False
e,1,True,False,False,True,False
M,1,True,False,False,False,False
l,1,True,False,False,True,False
T,1,True,False,False,False,False
j,1,True,False,False,True,False
F,1,True,False,False,False,False
C,1,True,False,False,False,False
N,1,True,False,False,False,False
X,1,True,False,False,False,False
B,1,True,False,False,False,False
G,1,True,False,False,False,False
H,1,True,False,False,False,False
Y,1,True,False,False,False,False
U,1,True,False,False,False,False
