Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
fetchNoRetry,fetch,True,VERB,5
fetchNoRetry,No,True,INTJ,2
fetchNoRetry,Retry,True,NOUN,5
fetch_retry,fetch,True,VERB,5
fetch_retry,retry,True,NOUN,5
fetchWithRetry,fetch,True,VERB,5
fetchWithRetry,With,True,ADP,4
fetchWithRetry,Retry,True,NOUN,5
prompt,prompt,True,VERB,6
main,main,True,ADJ,4
deployContract,deploy,True,VERB,6
deployContract,Contract,True,NOUN,8
retrieveContract,retrieve,True,NOUN,8
retrieveContract,Contract,True,NOUN,8
retrieveABI,retrieve,True,NOUN,8
retrieveABI,ABI,False,PROPN,3
main,main,True,ADJ,4
saveProjectPreviewImage,save,True,VERB,4
saveProjectPreviewImage,Project,True,NOUN,7
saveProjectPreviewImage,Preview,True,PROPN,7
saveProjectPreviewImage,Image,True,NOUN,5
loadImg,load,True,NOUN,4
loadImg,Img,False,PROPN,3
saveProjectPreviewGIF,save,True,VERB,4
saveProjectPreviewGIF,Project,True,NOUN,7
saveProjectPreviewGIF,Preview,True,PROPN,7
saveProjectPreviewGIF,GIF,True,PROPN,3
handler,handler,True,NOUN,7
onclick,on,True,ADP,2
onclick,click,True,VERB,5
onclick,on,True,ADP,2
onclick,click,True,VERB,5
updateConnectStatus,update,True,VERB,6
updateConnectStatus,Connect,True,VERB,7
updateConnectStatus,Status,True,NOUN,6
checkChain,check,True,VERB,5
checkChain,Chain,True,NOUN,5
onclick,on,True,ADP,2
onclick,click,True,VERB,5
onclick,on,True,ADP,2
onclick,click,True,VERB,5
onclick,on,True,ADP,2
onclick,click,True,VERB,5
onchange,onchange,False,NOUN,8
onkeyup,on,True,ADP,2
onkeyup,key,True,ADJ,3
onkeyup,up,True,ADV,2
loadInfo,load,True,NOUN,4
loadInfo,Info,True,NOUN,4
setTotalPrice,set,True,VERB,3
setTotalPrice,Total,True,ADJ,5
setTotalPrice,Price,True,NOUN,5
mint,mint,True,NOUN,4
countdown,countdown,True,NOUN,9
adopt,adopt,True,VERB,5
fulfilled,fulfilled,True,VERB,9
rejected,rejected,True,VERB,8
step,step,True,NOUN,4
__awaiter,awaiter,False,ADV,7
verb,verb,True,NOUN,4
step,step,True,NOUN,4
__generator,generator,True,NOUN,9
Onboarding,On,True,ADP,2
Onboarding,boarding,True,NOUN,8
_onMessage,on,True,ADP,2
_onMessage,Message,True,NOUN,7
_onMessageUnknownStateError,on,True,ADP,2
_onMessageUnknownStateError,Message,True,NOUN,7
_onMessageUnknownStateError,Unknown,True,ADJ,7
_onMessageUnknownStateError,State,True,NOUN,5
_onMessageUnknownStateError,Error,True,NOUN,5
_onMessageFromForwarder,on,True,ADP,2
_onMessageFromForwarder,Message,True,NOUN,7
_onMessageFromForwarder,From,True,ADP,4
_onMessageFromForwarder,Forwarder,True,NOUN,9
startOnboarding,start,True,VERB,5
startOnboarding,On,True,ADP,2
startOnboarding,boarding,True,NOUN,8
stopOnboarding,stop,True,VERB,4
stopOnboarding,On,True,ADP,2
stopOnboarding,boarding,True,NOUN,8
_openForwarder,open,True,VERB,4
_openForwarder,Forwarder,True,NOUN,9
_openDownloadPage,open,True,VERB,4
_openDownloadPage,Download,True,NOUN,8
_openDownloadPage,Page,True,NOUN,4
isMetaMaskInstalled,is,True,AUX,2
isMetaMaskInstalled,Meta,True,VERB,4
isMetaMaskInstalled,Mask,True,VERB,4
isMetaMaskInstalled,Installed,True,VERB,9
_register,register,True,VERB,8
_injectForwarder,inject,True,VERB,6
_injectForwarder,Forwarder,True,NOUN,9
_removeForwarder,remove,True,VERB,6
_removeForwarder,Forwarder,True,NOUN,9
_detectBrowser,detect,True,VERB,6
_detectBrowser,Browser,True,NOUN,7
At,At,True,ADP,2
I,I,True,PRON,1
r,r,True,X,1
D,D,True,PROPN,1
O,O,True,INTJ,1
u,u,True,NOUN,1
y,y,True,PROPN,1
w,w,True,PROPN,1
b,b,True,X,1
x,x,True,VERB,1
k,k,True,NOUN,1
s,s,True,NOUN,1
E,E,True,NOUN,1
A,A,True,PRON,1
L,L,True,NOUN,1
S,S,True,NOUN,1
W,W,True,NOUN,1
z,z,True,X,1
P,P,True,NOUN,1
e,e,True,X,1
M,M,True,NOUN,1
l,l,True,NOUN,1
T,T,True,NOUN,1
j,j,True,NOUN,1
F,F,True,NOUN,1
C,C,True,NOUN,1
N,N,True,NOUN,1
X,X,True,NOUN,1
B,B,True,NOUN,1
G,G,True,NOUN,1
H,H,True,NOUN,1
Y,Y,True,NOUN,1
U,U,True,NOUN,1
q,q,True,X,1
J,J,True,PROPN,1
K,K,True,NOUN,1
V,V,True,NOUN,1
Q,Q,True,VERB,1
g,g,True,PROPN,1
Z,Z,True,PROPN,1
v,v,True,X,1
on,on,True,ADP,2
en,en,True,ADV,2
cn,cn,False,VERB,2
fn,fn,False,INTJ,2
an,an,True,PRON,2
r,r,True,X,1
t,t,True,NOUN,1
c,c,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
i,i,True,PRON,1
Pn,Pn,False,PROPN,2
s,s,True,NOUN,1
l,l,True,NOUN,1
d,d,True,X,1
Rn,Rn,True,VERB,2
d,d,True,X,1
Dn,Dn,False,NOUN,2
b,b,True,X,1
x,x,True,VERB,1
k,k,True,NOUN,1
A,A,True,PRON,1
at,at,True,ADP,2
c,c,True,NOUN,1
f,f,True,X,1
l,l,True,NOUN,1
d,d,True,X,1
v,v,True,X,1
h,h,True,NOUN,1
p,p,True,NOUN,1
g,g,True,PROPN,1
i,i,True,PRON,1
l,l,True,NOUN,1
d,d,True,X,1
v,v,True,X,1
h,h,True,NOUN,1
p,p,True,NOUN,1
g,g,True,PROPN,1
p,p,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
y,y,True,PROPN,1
w,w,True,PROPN,1
b,b,True,X,1
e,e,True,X,1
d,d,True,X,1
v,v,True,X,1
h,h,True,NOUN,1
p,p,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
y,y,True,PROPN,1
w,w,True,PROPN,1
b,b,True,X,1
x,x,True,VERB,1
k,k,True,NOUN,1
A,A,True,PRON,1
m,m,True,VERB,1
y,y,True,PROPN,1
w,w,True,PROPN,1
b,b,True,X,1
x,x,True,VERB,1
k,k,True,NOUN,1
A,A,True,PRON,1
L,L,True,NOUN,1
E,E,True,NOUN,1
S,S,True,NOUN,1
z,z,True,X,1
P,P,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
y,y,True,PROPN,1
v,v,True,X,1
h,h,True,NOUN,1
p,p,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
u,u,True,NOUN,1
o,o,True,X,1
g,g,True,PROPN,1
m,m,True,VERB,1
y,y,True,PROPN,1
r,r,True,X,1
E,E,True,NOUN,1
S,S,True,NOUN,1
z,z,True,X,1
P,P,True,NOUN,1
R,R,True,VERB,1
D,D,True,PROPN,1
O,O,True,INTJ,1
M,M,True,NOUN,1
T,T,True,NOUN,1
j,j,True,NOUN,1
F,F,True,NOUN,1
l,l,True,NOUN,1
d,d,True,X,1
v,v,True,X,1
h,h,True,NOUN,1
p,p,True,NOUN,1
l,l,True,NOUN,1
d,d,True,X,1
v,v,True,X,1
h,h,True,NOUN,1
p,p,True,NOUN,1
g,g,True,PROPN,1
c,c,True,NOUN,1
f,f,True,X,1
w,w,True,PROPN,1
a,a,True,PRON,1
s,s,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
c,c,True,NOUN,1
f,f,True,X,1
a,a,True,PRON,1
t,t,True,NOUN,1
xt,xt,False,ADP,2
r,r,True,X,1
s,s,True,NOUN,1
kt,kt,True,PROPN,2
i,i,True,PRON,1
mount,mount,True,VERB,5
sync,sync,True,NOUN,4
go,go,True,VERB,2
on,on,True,ADP,2
off,off,True,ADV,3
emit,emit,True,VERB,4
add,add,True,VERB,3
remove,remove,True,VERB,6
is,is,True,AUX,2
refresh,refresh,True,VERB,7
destroy,destroy,True,VERB,7
r,r,True,X,1
d,d,True,X,1
r,r,True,X,1
t,t,True,NOUN,1
n,n,True,CCONJ,1
o,o,True,X,1
exports,exports,True,NOUN,7
a,a,True,PRON,1
s,s,True,NOUN,1
f,f,True,X,1
u,u,True,NOUN,1
c,c,True,NOUN,1
d,d,True,X,1
h,h,True,NOUN,1
l,l,True,NOUN,1
p,p,True,NOUN,1
b,b,True,X,1
y,y,True,PROPN,1
m,m,True,VERB,1
u,u,True,NOUN,1
v,v,True,X,1
g,g,True,PROPN,1
w,w,True,PROPN,1
k,k,True,NOUN,1
S,S,True,NOUN,1
A,A,True,PRON,1
E,E,True,NOUN,1
x,x,True,VERB,1
SlowBuffer,Slow,True,ADJ,4
SlowBuffer,Buffer,True,PROPN,6
_augment,augment,True,NOUN,7
from,from,True,ADP,4
alloc,alloc,False,ADJ,5
allocUnsafe,alloc,False,ADJ,5
allocUnsafe,Unsafe,True,ADJ,6
allocUnsafeSlow,alloc,False,ADJ,5
allocUnsafeSlow,Unsafe,True,ADJ,6
allocUnsafeSlow,Slow,True,ADJ,4
isBuffer,is,True,AUX,2
isBuffer,Buffer,True,PROPN,6
compare,compare,True,VERB,7
isEncoding,is,True,AUX,2
isEncoding,Encoding,True,VERB,8
concat,concat,False,NOUN,6
swap16,swap16,False,VERB,6
swap32,swap32,False,NOUN,6
swap64,swap64,False,VERB,6
toString,to,True,PART,2
toString,String,True,NOUN,6
equals,equals,True,VERB,6
inspect,inspect,True,VERB,7
compare,compare,True,VERB,7
includes,includes,True,VERB,8
indexOf,index,True,NOUN,5
indexOf,Of,True,ADP,2
lastIndexOf,last,True,ADJ,4
lastIndexOf,Index,True,NOUN,5
lastIndexOf,Of,True,ADP,2
write,write,True,VERB,5
toJSON,to,True,PART,2
toJSON,JSON,False,NOUN,4
P,P,True,NOUN,1
O,O,True,INTJ,1
R,R,True,VERB,1
T,T,True,NOUN,1
M,M,True,NOUN,1
I,I,True,PRON,1
B,B,True,NOUN,1
C,C,True,NOUN,1
j,j,True,NOUN,1
U,U,True,NOUN,1
N,N,True,NOUN,1
slice,slice,True,VERB,5
readUIntLE,read,True,VERB,4
readUIntLE,U,True,NOUN,1
readUIntLE,Int,True,VERB,3
readUIntLE,LE,True,PROPN,2
readUIntBE,read,True,VERB,4
readUIntBE,U,True,NOUN,1
readUIntBE,Int,True,VERB,3
readUIntBE,BE,True,AUX,2
readUInt8,read,True,VERB,4
readUInt8,UInt8,False,NOUN,5
readUInt16LE,read,True,VERB,4
readUInt16LE,UInt16,False,NOUN,6
readUInt16LE,LE,True,PROPN,2
readUInt16BE,read,True,VERB,4
readUInt16BE,UInt16,False,NOUN,6
readUInt16BE,BE,True,AUX,2
readUInt32LE,read,True,VERB,4
readUInt32LE,UInt32,False,INTJ,6
readUInt32LE,LE,True,PROPN,2
readUInt32BE,read,True,VERB,4
readUInt32BE,UInt32,False,INTJ,6
readUInt32BE,BE,True,AUX,2
readIntLE,read,True,VERB,4
readIntLE,Int,True,VERB,3
readIntLE,LE,True,PROPN,2
readIntBE,read,True,VERB,4
readIntBE,Int,True,VERB,3
readIntBE,BE,True,AUX,2
readInt8,read,True,VERB,4
readInt8,Int8,False,NOUN,4
readInt16LE,read,True,VERB,4
readInt16LE,Int16,False,NOUN,5
readInt16LE,LE,True,PROPN,2
readInt16BE,read,True,VERB,4
readInt16BE,Int16,False,NOUN,5
readInt16BE,BE,True,AUX,2
readInt32LE,read,True,VERB,4
readInt32LE,Int32,False,NOUN,5
readInt32LE,LE,True,PROPN,2
readInt32BE,read,True,VERB,4
readInt32BE,Int32,False,NOUN,5
readInt32BE,BE,True,AUX,2
readFloatLE,read,True,VERB,4
readFloatLE,Float,True,VERB,5
readFloatLE,LE,True,PROPN,2
readFloatBE,read,True,VERB,4
readFloatBE,Float,True,VERB,5
readFloatBE,BE,True,AUX,2
readDoubleLE,read,True,VERB,4
readDoubleLE,Double,True,ADJ,6
readDoubleLE,LE,True,PROPN,2
readDoubleBE,read,True,VERB,4
readDoubleBE,Double,True,ADJ,6
readDoubleBE,BE,True,AUX,2
writeUIntLE,write,True,VERB,5
writeUIntLE,U,True,NOUN,1
writeUIntLE,Int,True,VERB,3
writeUIntLE,LE,True,PROPN,2
writeUIntBE,write,True,VERB,5
writeUIntBE,U,True,NOUN,1
writeUIntBE,Int,True,VERB,3
writeUIntBE,BE,True,AUX,2
writeUInt8,write,True,VERB,5
writeUInt8,UInt8,False,NOUN,5
writeUInt16LE,write,True,VERB,5
writeUInt16LE,UInt16,False,NOUN,6
writeUInt16LE,LE,True,PROPN,2
writeUInt16BE,write,True,VERB,5
writeUInt16BE,UInt16,False,NOUN,6
writeUInt16BE,BE,True,AUX,2
writeUInt32LE,write,True,VERB,5
writeUInt32LE,UInt32,False,INTJ,6
writeUInt32LE,LE,True,PROPN,2
writeUInt32BE,write,True,VERB,5
writeUInt32BE,UInt32,False,INTJ,6
writeUInt32BE,BE,True,AUX,2
writeIntLE,write,True,VERB,5
writeIntLE,Int,True,VERB,3
writeIntLE,LE,True,PROPN,2
writeIntBE,write,True,VERB,5
writeIntBE,Int,True,VERB,3
writeIntBE,BE,True,AUX,2
writeInt8,write,True,VERB,5
writeInt8,Int8,False,NOUN,4
writeInt16LE,write,True,VERB,5
writeInt16LE,Int16,False,NOUN,5
writeInt16LE,LE,True,PROPN,2
writeInt16BE,write,True,VERB,5
writeInt16BE,Int16,False,NOUN,5
writeInt16BE,BE,True,AUX,2
writeInt32LE,write,True,VERB,5
writeInt32LE,Int32,False,NOUN,5
writeInt32LE,LE,True,PROPN,2
writeInt32BE,write,True,VERB,5
writeInt32BE,Int32,False,NOUN,5
writeInt32BE,BE,True,AUX,2
writeFloatLE,write,True,VERB,5
writeFloatLE,Float,True,VERB,5
writeFloatLE,LE,True,PROPN,2
writeFloatBE,write,True,VERB,5
writeFloatBE,Float,True,VERB,5
writeFloatBE,BE,True,AUX,2
writeDoubleLE,write,True,VERB,5
writeDoubleLE,Double,True,ADJ,6
writeDoubleLE,LE,True,PROPN,2
writeDoubleBE,write,True,VERB,5
writeDoubleBE,Double,True,ADJ,6
writeDoubleBE,BE,True,AUX,2
copy,copy,True,NOUN,4
fill,fill,True,VERB,4
D,D,True,PROPN,1
F,F,True,NOUN,1
q,q,True,X,1
H,H,True,NOUN,1
n,n,True,CCONJ,1
i,i,True,PRON,1
r,r,True,X,1
o,o,True,X,1
a,a,True,PRON,1
f,f,True,X,1
u,u,True,NOUN,1
c,c,True,NOUN,1
isBN,is,True,AUX,2
isBN,BN,True,NOUN,2
max,max,True,PROPN,3
min,min,True,NOUN,3
_init,init,True,PROPN,4
_initNumber,init,True,PROPN,4
_initNumber,Number,True,NOUN,6
_initArray,init,True,PROPN,4
_initArray,Array,True,VERB,5
_parseHex,parse,True,VERB,5
_parseHex,Hex,True,NOUN,3
_parseBase,parse,True,VERB,5
_parseBase,Base,True,NOUN,4
copy,copy,True,NOUN,4
clone,clone,True,VERB,5
_expand,expand,True,VERB,6
strip,strip,True,PROPN,5
_normSign,norm,True,NOUN,4
_normSign,Sign,True,VERB,4
inspect,inspect,True,VERB,7
p,p,True,NOUN,1
toString,to,True,PART,2
toString,String,True,NOUN,6
toNumber,to,True,PART,2
toNumber,Number,True,NOUN,6
toJSON,to,True,PART,2
toJSON,JSON,False,NOUN,4
toBuffer,to,True,PART,2
toBuffer,Buffer,True,PROPN,6
toArray,to,True,PART,2
toArray,Array,True,VERB,5
toArrayLike,to,True,PART,2
toArrayLike,Array,True,VERB,5
toArrayLike,Like,True,ADP,4
_countBits,count,True,VERB,5
_countBits,Bits,True,NOUN,4
_countBits,count,True,VERB,5
_countBits,Bits,True,NOUN,4
_zeroBits,zero,True,NUM,4
_zeroBits,Bits,True,NOUN,4
bitLength,bit,True,NOUN,3
bitLength,Length,True,NOUN,6
zeroBits,zero,True,NUM,4
zeroBits,Bits,True,NOUN,4
byteLength,byte,True,PROPN,4
byteLength,Length,True,NOUN,6
toTwos,to,True,PART,2
toTwos,Twos,True,NOUN,4
fromTwos,from,True,ADP,4
fromTwos,Twos,True,NOUN,4
isNeg,is,True,AUX,2
isNeg,Neg,True,NOUN,3
neg,neg,True,PROPN,3
ineg,i,True,PRON,1
ineg,neg,True,PROPN,3
iuor,iuor,False,NOUN,4
ior,ior,False,NOUN,3
or,or,True,CCONJ,2
uor,uor,False,NOUN,3
iuand,iu,False,ADV,2
iuand,and,True,CCONJ,3
iand,i,True,PRON,1
iand,and,True,CCONJ,3
and,and,True,CCONJ,3
uand,u,True,NOUN,1
uand,and,True,CCONJ,3
iuxor,iuxor,False,PROPN,5
ixor,ixor,False,PROPN,4
xor,xor,True,PROPN,3
uxor,uxor,False,ADJ,4
inotn,inotn,False,NOUN,5
notn,no,True,INTJ,2
notn,tn,True,INTJ,2
setn,setn,False,NOUN,4
iadd,i,True,PRON,1
iadd,add,True,VERB,3
add,add,True,VERB,3
isub,i,True,PRON,1
isub,sub,True,VERB,3
sub,sub,True,VERB,3
b,b,True,X,1
y,y,True,PROPN,1
m,m,True,VERB,1
mulTo,mul,False,ADJ,3
mulTo,To,True,PART,2
makeRBT,make,True,VERB,4
makeRBT,RBT,False,PROPN,3
revBin,rev,True,VERB,3
revBin,Bin,True,NOUN,3
permute,permute,True,VERB,7
transform,transform,True,VERB,9
guessLen13b,guess,True,VERB,5
