Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
s,1,True,False,False,True,False
niceSelect,2,True,False,True,True,False
clearActions,2,True,False,True,True,False
injectIntoTab,3,True,True,True,True,False
getCurrentTab,3,True,True,True,True,False
restoreNewTab,3,True,True,True,True,False
resetOmni,2,False,True,True,True,False
getTabs,2,True,True,True,True,False
process_bookmark,2,True,False,True,False,True
getBookmarks,2,True,True,True,True,False
switchTab,2,True,True,True,True,False
goBack,2,True,True,True,True,False
goForward,2,True,True,True,True,False
duplicateTab,2,True,True,True,True,False
createBookmark,2,True,True,True,True,False
muteTab,2,True,True,True,True,False
reloadTab,2,True,True,True,True,False
pinTab,2,True,True,True,True,False
clearAllData,3,True,False,True,True,False
clearBrowsingData,3,True,True,True,True,False
clearCookies,2,True,False,True,True,False
clearCache,2,True,False,True,True,False
clearLocalStorage,3,True,False,True,True,False
clearPasswords,2,True,False,True,True,False
openbrowserUrl,3,False,True,True,False,False
openIncognito,2,True,True,True,True,False
closeWindow,2,True,True,True,True,False
closeTab,2,True,True,True,True,False
closeCurrentTab,3,True,True,True,True,False
removeBookmark,2,True,True,True,True,False
onkeyup,3,True,False,True,False,False
onerror,2,True,False,True,False,False
renderAction,2,True,True,True,True,False
populateOmni,2,False,True,True,True,False
renderRow,2,True,True,True,True,False
populateOmniFilter,3,False,True,True,True,False
openOmni,2,False,True,True,True,False
closeOmni,2,False,True,True,True,False
hoverItem,2,True,True,True,True,False
showToast,2,True,True,True,True,False
checkShortHand,3,False,True,True,True,False
addhttp,2,False,True,True,False,False
validURL,2,False,False,True,True,False
search,1,True,False,True,True,False
handleAction,2,True,True,True,True,False
openShortcuts,2,True,True,True,True,False
toArray,2,True,True,True,True,False
toArray,2,True,True,True,True,False
arrayFind,2,True,True,True,True,False
arrayFind,2,True,True,True,True,False
asArray,2,True,True,True,True,False
asArray,2,True,True,True,True,False
tabSort,2,True,True,True,True,False
tabSort,2,True,True,True,True,False
orderByTabIndex,4,True,True,True,True,False
orderByTabIndex,4,True,True,True,True,False
getFocusables,2,False,True,True,True,False
getFocusables,2,False,True,True,True,False
getParentAutofocusables,4,False,True,True,False,False
getParentAutofocusables,4,False,True,True,False,False
isElementHidden,3,True,True,True,True,False
isElementHidden,3,True,True,True,True,False
isVisible,2,True,False,True,True,False
isVisible,2,True,False,True,True,False
notHiddenInput,3,True,True,True,True,False
notHiddenInput,3,True,True,True,True,False
getParents,2,True,True,True,True,False
getParents,2,True,True,True,True,False
getCommonParent,3,True,True,True,True,False
getCommonParent,3,True,True,True,True,False
filterFocusable,2,True,True,True,True,False
filterFocusable,2,True,True,True,True,False
getTabbableNodes,5,True,True,False,False,False
getTabbableNodes,5,True,True,False,False,False
getAllTabbableNodes,6,True,True,False,False,False
getAllTabbableNodes,6,True,True,False,False,False
parentAutofocusables,3,False,False,True,False,False
parentAutofocusables,3,False,False,True,False,False
isRadio,2,True,False,True,True,False
isRadio,2,True,False,True,True,False
findSelectedRadio,3,True,True,True,True,False
findSelectedRadio,3,True,True,True,True,False
pickFirstFocus,3,True,True,True,True,False
pickFirstFocus,3,True,True,True,True,False
_loop,1,True,False,True,True,False
_loop,1,True,False,True,True,False
filterNested,2,True,True,True,True,False
filterNested,2,True,True,True,True,False
getTopParent,3,True,True,True,True,False
getTopParent,3,True,True,True,True,False
getAllAffectedNodes,4,True,True,True,True,False
getAllAffectedNodes,4,True,True,True,True,False
findAutoFocused,3,False,True,True,True,False
findAutoFocused,3,False,True,True,True,False
newFocus,2,True,False,True,True,False
newFocus,2,True,False,True,True,False
getTopCommonParent,4,True,True,True,True,False
getTopCommonParent,4,True,True,True,True,False
allParentAutofocusables,4,False,False,True,False,False
allParentAutofocusables,4,False,False,True,False,False
notAGuard,3,True,True,False,True,False
notAGuard,3,True,True,False,True,False
reorderNodes,2,True,False,True,True,False
reorderNodes,2,True,False,True,True,False
getFocusMerge,3,True,True,True,True,False
getFocusMerge,3,True,True,True,True,False
focusInFrame,3,False,True,True,True,False
focusInFrame,3,False,True,True,True,False
focusInsideIframe,3,True,True,True,True,False
focusInsideIframe,3,True,True,True,True,False
focusInside,2,True,True,True,True,False
focusInside,2,True,True,True,True,False
focusIsHidden,3,True,True,True,True,False
focusIsHidden,3,True,True,True,True,False
focusOn,2,True,True,True,True,False
focusOn,2,True,True,True,True,False
setFocus,2,True,True,True,True,False
focusOnBody,3,True,True,True,True,False
focusOnBody,3,True,True,True,True,False
isFreeFocus,3,True,False,True,True,False
isFreeFocus,3,True,False,True,True,False
activateTrap,2,True,True,True,True,False
activateTrap,2,True,True,True,True,False
reducePropsToState,4,True,True,True,True,False
reducePropsToState,4,True,True,True,True,False
handleStateChangeOnClient,5,True,True,True,True,False
handleStateChangeOnClient,5,True,True,True,True,False
emitChange,2,True,True,True,True,False
emitChange,2,True,True,True,True,False
attachHandler,2,True,True,True,True,False
attachHandler,2,True,True,True,True,False
detachHandler,2,True,False,True,True,False
detachHandler,2,True,False,True,True,False
on,1,True,False,True,True,False
off,1,True,False,True,True,False
m,1,True,True,False,True,False
x,1,True,True,False,True,False
b,1,True,False,False,True,False
w,1,True,False,False,True,False
S,1,True,False,False,False,False
p,1,True,False,False,True,False
extend,1,True,True,True,True,False
j,1,True,False,False,True,False
P,1,True,False,False,False,False
ne,1,True,False,True,True,False
ie,1,False,False,True,True,False
oe,1,False,False,True,True,False
se,1,True,False,True,True,False
e,1,True,False,False,True,False
ue,1,False,False,True,True,False
le,1,True,False,True,True,False
ce,1,True,True,True,True,False
fe,1,True,False,True,True,False
pe,1,False,False,True,True,False
de,1,False,False,True,True,False
he,1,True,False,True,True,False
ge,1,True,False,True,True,False
ve,1,True,True,True,True,False
ye,1,True,False,True,True,False
