Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
s,s,True,NOUN,1
niceSelect,nice,True,ADJ,4
niceSelect,Select,True,PROPN,6
clearActions,clear,True,ADJ,5
clearActions,Actions,True,NOUN,7
injectIntoTab,inject,True,VERB,6
injectIntoTab,Into,True,ADP,4
injectIntoTab,Tab,True,VERB,3
getCurrentTab,get,True,VERB,3
getCurrentTab,Current,True,ADJ,7
getCurrentTab,Tab,True,VERB,3
restoreNewTab,restore,True,VERB,7
restoreNewTab,New,True,ADJ,3
restoreNewTab,Tab,True,VERB,3
resetOmni,reset,True,VERB,5
resetOmni,Omni,False,PROPN,4
getTabs,get,True,VERB,3
getTabs,Tabs,True,NOUN,4
process_bookmark,process,True,NOUN,7
process_bookmark,bookmark,True,NOUN,8
getBookmarks,get,True,VERB,3
getBookmarks,Bookmarks,True,NOUN,9
switchTab,switch,True,VERB,6
switchTab,Tab,True,VERB,3
goBack,go,True,VERB,2
goBack,Back,True,ADV,4
goForward,go,True,VERB,2
goForward,Forward,True,PROPN,7
duplicateTab,duplicate,True,VERB,9
duplicateTab,Tab,True,VERB,3
createBookmark,create,True,VERB,6
createBookmark,Bookmark,True,PROPN,8
muteTab,mute,True,NOUN,4
muteTab,Tab,True,VERB,3
reloadTab,reload,True,ADV,6
reloadTab,Tab,True,VERB,3
pinTab,pin,True,PROPN,3
pinTab,Tab,True,VERB,3
clearAllData,clear,True,ADJ,5
clearAllData,All,True,PRON,3
clearAllData,Data,True,NOUN,4
clearBrowsingData,clear,True,ADJ,5
clearBrowsingData,Browsing,True,VERB,8
clearBrowsingData,Data,True,NOUN,4
clearCookies,clear,True,ADJ,5
clearCookies,Cookies,True,NOUN,7
clearCache,clear,True,ADJ,5
clearCache,Cache,True,PROPN,5
clearLocalStorage,clear,True,ADJ,5
clearLocalStorage,Local,True,ADJ,5
clearLocalStorage,Storage,True,NOUN,7
clearPasswords,clear,True,ADJ,5
clearPasswords,Passwords,True,NOUN,9
openbrowserUrl,open,True,VERB,4
openbrowserUrl,browser,True,NOUN,7
openbrowserUrl,Url,False,NOUN,3
openIncognito,open,True,VERB,4
openIncognito,Incognito,True,PROPN,9
closeWindow,close,True,VERB,5
closeWindow,Window,True,NOUN,6
closeTab,close,True,VERB,5
closeTab,Tab,True,VERB,3
closeCurrentTab,close,True,VERB,5
closeCurrentTab,Current,True,ADJ,7
closeCurrentTab,Tab,True,VERB,3
removeBookmark,remove,True,VERB,6
removeBookmark,Bookmark,True,PROPN,8
onkeyup,on,True,ADP,2
onkeyup,key,True,ADJ,3
onkeyup,up,True,ADV,2
onerror,on,True,ADP,2
onerror,error,True,NOUN,5
renderAction,render,True,VERB,6
renderAction,Action,True,NOUN,6
populateOmni,populate,True,VERB,8
populateOmni,Omni,False,PROPN,4
renderRow,render,True,VERB,6
renderRow,Row,True,NOUN,3
populateOmniFilter,populate,True,VERB,8
populateOmniFilter,Omni,False,PROPN,4
populateOmniFilter,Filter,True,PROPN,6
openOmni,open,True,VERB,4
openOmni,Omni,False,PROPN,4
closeOmni,close,True,VERB,5
closeOmni,Omni,False,PROPN,4
hoverItem,hover,True,VERB,5
hoverItem,Item,True,NOUN,4
showToast,show,True,VERB,4
showToast,Toast,True,VERB,5
checkShortHand,check,True,VERB,5
checkShortHand,Short,True,ADJ,5
checkShortHand,Hand,True,VERB,4
addhttp,add,True,VERB,3
addhttp,http,False,PROPN,4
validURL,valid,True,ADJ,5
validURL,URL,True,NOUN,3
search,search,True,NOUN,6
handleAction,handle,True,VERB,6
handleAction,Action,True,NOUN,6
openShortcuts,open,True,VERB,4
openShortcuts,Shortcuts,True,NOUN,9
toArray,to,True,PART,2
toArray,Array,True,VERB,5
toArray,to,True,PART,2
toArray,Array,True,VERB,5
arrayFind,array,True,VERB,5
arrayFind,Find,True,VERB,4
arrayFind,array,True,VERB,5
arrayFind,Find,True,VERB,4
asArray,as,True,ADP,2
asArray,Array,True,VERB,5
asArray,as,True,ADP,2
asArray,Array,True,VERB,5
tabSort,tab,True,VERB,3
tabSort,Sort,True,ADV,4
tabSort,tab,True,VERB,3
tabSort,Sort,True,ADV,4
orderByTabIndex,order,True,NOUN,5
orderByTabIndex,By,True,ADP,2
orderByTabIndex,Tab,True,VERB,3
orderByTabIndex,Index,True,NOUN,5
orderByTabIndex,order,True,NOUN,5
orderByTabIndex,By,True,ADP,2
orderByTabIndex,Tab,True,VERB,3
orderByTabIndex,Index,True,NOUN,5
getFocusables,get,True,VERB,3
getFocusables,Focusables,False,NOUN,10
getFocusables,get,True,VERB,3
getFocusables,Focusables,False,NOUN,10
getParentAutofocusables,get,True,VERB,3
getParentAutofocusables,Parent,True,NOUN,6
getParentAutofocusables,Auto,True,NOUN,4
getParentAutofocusables,focusables,False,NOUN,10
getParentAutofocusables,get,True,VERB,3
getParentAutofocusables,Parent,True,NOUN,6
getParentAutofocusables,Auto,True,NOUN,4
getParentAutofocusables,focusables,False,NOUN,10
isElementHidden,is,True,AUX,2
isElementHidden,Element,True,NOUN,7
isElementHidden,Hidden,True,VERB,6
isElementHidden,is,True,AUX,2
isElementHidden,Element,True,NOUN,7
isElementHidden,Hidden,True,VERB,6
isVisible,is,True,AUX,2
isVisible,Visible,True,ADJ,7
isVisible,is,True,AUX,2
isVisible,Visible,True,ADJ,7
notHiddenInput,not,True,PART,3
notHiddenInput,Hidden,True,VERB,6
notHiddenInput,Input,True,NOUN,5
notHiddenInput,not,True,PART,3
notHiddenInput,Hidden,True,VERB,6
notHiddenInput,Input,True,NOUN,5
getParents,get,True,VERB,3
getParents,Parents,True,NOUN,7
getParents,get,True,VERB,3
getParents,Parents,True,NOUN,7
getCommonParent,get,True,VERB,3
getCommonParent,Common,True,ADJ,6
getCommonParent,Parent,True,NOUN,6
getCommonParent,get,True,VERB,3
getCommonParent,Common,True,ADJ,6
getCommonParent,Parent,True,NOUN,6
filterFocusable,filter,True,VERB,6
filterFocusable,Focusable,False,ADV,9
filterFocusable,filter,True,VERB,6
