Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
e,1,True,False,False,True,False
t,1,True,False,False,True,False
toString,2,True,False,True,True,False
EventEmitter,2,True,False,True,False,False
addListener,2,True,True,True,True,False
removeListener,2,True,True,True,True,False
emit,1,True,True,True,True,False
hasHandler,2,True,True,True,True,False
tokenizer,1,True,False,True,True,False
setSeperator,4,False,True,True,False,False
resetSeperator,4,False,True,True,False,False
getSeperator,4,False,True,True,False,False
Pipeline,1,True,False,True,False,False
registerFunction,2,True,True,True,True,False
getRegisteredFunction,3,True,True,True,True,False
warnIfFunctionNotRegistered,5,True,True,True,True,False
load,1,True,False,True,True,False
add,1,True,True,True,True,False
after,1,True,False,True,True,False
before,1,True,False,True,True,False
remove,1,True,True,True,True,False
run,1,True,True,True,True,False
reset,1,True,True,True,True,False
get,1,True,True,True,True,False
toJSON,2,False,False,True,True,False
Index,1,True,False,True,False,False
on,1,True,False,True,True,False
off,1,True,False,True,True,False
load,1,True,False,True,True,False
addField,2,True,True,True,True,False
setRef,2,True,True,True,True,False
saveDocument,2,True,True,True,True,False
addDoc,2,True,True,True,True,False
removeDocByRef,4,True,True,True,True,False
removeDoc,2,True,True,True,True,False
updateDoc,2,True,True,True,True,False
idf,1,False,False,True,True,False
getFields,2,True,True,True,True,False
search,1,True,False,True,True,False
fieldSearch,2,True,False,True,True,False
mergeScores,2,True,True,True,True,False
fieldSearchStats,3,True,False,True,True,False
coordNorm,2,False,False,True,True,False
toJSON,2,False,False,True,True,False
use,1,True,True,True,True,False
DocumentStore,2,True,False,True,False,False
load,1,True,False,True,True,False
isDocStored,3,True,True,True,True,False
addDoc,2,True,True,True,True,False
getDoc,2,True,True,True,True,False
hasDoc,2,True,True,True,True,False
removeDoc,2,True,True,True,True,False
addFieldLength,3,True,True,True,True,False
updateFieldLength,3,True,True,True,True,False
getFieldLength,3,True,True,True,True,False
toJSON,2,False,False,True,True,False
z,1,True,False,False,True,False
stopWordFilter,3,True,True,True,True,False
clearStopWords,3,True,True,True,True,False
addStopWords,3,True,True,True,True,False
resetStopWords,3,True,True,True,True,False
trimmer,1,True,False,True,True,False
InvertedIndex,2,True,True,True,False,False
load,1,True,False,True,True,False
addToken,2,True,True,True,True,False
hasToken,2,True,True,True,True,False
getNode,2,True,True,True,True,False
getDocs,2,True,True,True,True,False
getTermFrequency,3,True,True,True,True,False
getDocFreq,3,True,True,True,True,False
removeToken,2,True,True,True,True,False
expandToken,2,True,True,True,True,False
toJSON,2,False,False,True,True,False
Configuration,1,True,False,True,False,False
buildDefaultConfig,3,True,True,True,True,False
buildUserConfig,3,True,True,True,True,False
addAllFields2UserConfig,6,True,True,False,False,False
get,1,True,True,True,True,False
reset,1,True,True,True,True,False
SortedSet,2,True,True,True,False,False
load,1,True,False,True,True,False
add,1,True,True,True,True,False
toArray,2,True,True,True,True,False
map,1,True,False,True,True,False
forEach,2,True,False,True,True,False
indexOf,2,True,False,True,True,False
locationFor,2,True,False,True,True,False
