Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
m,m,True,VERB,1
x,x,True,VERB,1
b,b,True,X,1
w,w,True,PROPN,1
S,S,True,NOUN,1
p,p,True,NOUN,1
extend,extend,True,VERB,6
j,j,True,NOUN,1
P,P,True,NOUN,1
ne,ne,True,PROPN,2
ie,ie,False,ADP,2
oe,oe,False,ADV,2
se,se,False,PROPN,2
e,e,True,X,1
ue,ue,False,ADV,2
le,le,False,INTJ,2
ce,ce,False,VERB,2
fe,fe,False,X,2
pe,pe,True,ADP,2
de,de,True,X,2
he,he,True,PRON,2
ge,ge,False,PROPN,2
ve,ve,False,VERB,2
ye,ye,True,ADJ,2
isXML,is,True,AUX,2
isXML,XML,True,VERB,3
ID,ID,True,PROPN,2
ID,ID,True,PROPN,2
ID,ID,True,PROPN,2
ID,ID,True,PROPN,2
setDocument,set,True,VERB,3
setDocument,Document,True,NOUN,8
matches,matches,True,NOUN,7
matchesSelector,matches,True,NOUN,7
matchesSelector,Selector,True,NOUN,8
contains,contains,True,VERB,8
attr,attr,False,PROPN,4
escape,escape,True,VERB,6
error,error,True,NOUN,5
uniqueSort,unique,True,ADJ,6
uniqueSort,Sort,True,ADV,4
getText,get,True,VERB,3
getText,Text,True,NOUN,4
me,me,True,PRON,2
xe,xe,False,PROPN,2
be,be,True,AUX,2
we,we,True,PRON,2
Te,Te,True,ADV,2
Ce,Ce,True,VERB,2
Ee,Ee,False,NOUN,2
tokenize,tokenize,False,VERB,8
compile,compile,True,NOUN,7
select,select,True,ADJ,6
h,h,True,NOUN,1
T,T,True,NOUN,1
A,A,True,PRON,1
j,j,True,NOUN,1
filter,filter,True,VERB,6
init,init,True,PROPN,4
O,O,True,INTJ,1
r,r,True,X,1
R,R,True,VERB,1
M,M,True,NOUN,1
I,I,True,PRON,1
c,c,True,NOUN,1
n,n,True,CCONJ,1
Callbacks,Callbacks,True,NOUN,9
e,e,True,X,1
l,l,True,NOUN,1
a,a,True,PRON,1
exceptionHook,exception,True,NOUN,9
exceptionHook,Hook,True,VERB,4
readyException,ready,True,ADJ,5
readyException,Exception,True,NOUN,9
B,B,True,NOUN,1
ready,ready,True,ADJ,5
U,U,True,NOUN,1
X,X,True,NOUN,1
V,V,True,NOUN,1
G,G,True,NOUN,1
Z,Z,True,PROPN,1
s,s,True,NOUN,1
ie,ie,False,ADP,2
ae,ae,True,PROPN,2
se,se,False,PROPN,2
le,le,False,INTJ,2
ve,ve,False,VERB,2
ye,ye,True,ADJ,2
xe,xe,False,PROPN,2
we,we,True,PRON,2
Te,Te,True,ADV,2
Ce,Ce,True,VERB,2
Ee,Ee,False,NOUN,2
Se,Se,True,PROPN,2
handle,handle,True,VERB,6
removeEvent,remove,True,VERB,6
removeEvent,Event,True,NOUN,5
Event,Event,True,NOUN,5
je,je,False,PROPN,2
De,De,True,INTJ,2
qe,qe,False,PROPN,2
Le,Le,True,NOUN,2
He,He,True,PRON,2
Oe,Oe,True,NOUN,2
e,e,True,X,1
Re,Re,True,ADP,2
Me,Me,True,PRON,2
We,We,True,PRON,2
Fe,Fe,True,NOUN,2
e,e,True,X,1
t,t,True,NOUN,1
ze,ze,False,PROPN,2
Ye,Ye,True,NOUN,2
Qe,Qe,False,PROPN,2
Je,Je,False,INTJ,2
Ke,Ke,False,PROPN,2
ot,ot,False,VERB,2
at,at,True,ADP,2
st,st,True,PROPN,2
ut,ut,True,ADP,2
u,u,True,NOUN,1
lt,lt,False,PROPN,2
fire,fire,True,NOUN,4
complete,complete,True,ADJ,8
speed,speed,True,NOUN,5
a,a,True,PRON,1
a,a,True,PRON,1
r,r,True,X,1
e,e,True,X,1
tick,tick,True,VERB,4
timer,timer,True,NOUN,5
start,start,True,VERB,5
stop,stop,True,VERB,4
stop,stop,True,VERB,4
delay,delay,True,NOUN,5
t,t,True,NOUN,1
ht,ht,True,PROPN,2
gt,gt,True,PROPN,2
vt,vt,False,VERB,2
get,get,True,VERB,3
xt,xt,False,ADP,2
i,i,True,PRON,1
parseXML,parse,True,VERB,5
parseXML,XML,True,VERB,3
At,At,True,ADP,2
i,i,True,PRON,1
param,param,False,VERB,5
It,It,True,PRON,2
l,l,True,NOUN,1
Wt,Wt,True,INTJ,2
Ft,Ft,True,PROPN,2
l,l,True,NOUN,1
i,i,True,PRON,1
_evalUrl,eval,False,NOUN,4
_evalUrl,Url,False,NOUN,3
hidden,hidden,True,VERB,6
visible,visible,True,ADJ,7
xhr,xhr,False,PROPN,3
onreadystatechange,on,True,ADP,2
onreadystatechange,ready,True,ADJ,5
onreadystatechange,state,True,NOUN,5
onreadystatechange,change,True,VERB,6
r,r,True,X,1
parseHTML,parse,True,VERB,5
parseHTML,HTML,True,NOUN,4
load,load,True,NOUN,4
animated,animated,True,VERB,8
t,t,True,NOUN,1
o,o,True,X,1
t,t,True,NOUN,1
n,n,True,CCONJ,1
proxy,proxy,True,NOUN,5
holdReady,hold,True,VERB,4
holdReady,Ready,True,ADJ,5
isNumeric,is,True,AUX,2
isNumeric,Numeric,True,PROPN,7
trim,trim,True,VERB,4
noConflict,no,True,INTJ,2
noConflict,Conflict,True,NOUN,8
move_f,move,True,VERB,4
move_f,f,True,X,1
up_f,up,True,ADV,2
up_f,f,True,X,1
addZero,add,True,VERB,3
addZero,Zero,True,NUM,4
timeChange,time,True,NOUN,4
timeChange,Change,True,VERB,6
toBoot,to,True,PART,2
toBoot,Boot,True,NOUN,4
BIOS_confirm,BIOS,True,NOUN,4
BIOS_confirm,confirm,True,VERB,7
ChangePage,Change,True,VERB,6
ChangePage,Page,True,NOUN,4
oncontextmenu,on,True,ADP,2
oncontextmenu,context,True,NOUN,7
oncontextmenu,menu,True,NOUN,4
onkeydown,on,True,ADP,2
onkeydown,key,True,ADJ,3
onkeydown,down,True,ADV,4
setProgress,set,True,VERB,3
setProgress,Progress,True,NOUN,8
toBIOS,to,True,PART,2
toBIOS,BIOS,True,NOUN,4
onkeydown,on,True,ADP,2
onkeydown,key,True,ADJ,3
onkeydown,down,True,ADV,4
oncontextmenu,on,True,ADP,2
oncontextmenu,context,True,NOUN,7
oncontextmenu,menu,True,NOUN,4
updateTime,update,True,VERB,6
updateTime,Time,True,NOUN,4
update,update,True,VERB,6
