Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
nonEnumerable,2,False,False,True,True,False
writable,1,True,False,True,True,False
readOnly,2,True,True,True,True,False
filter,1,True,True,True,True,False
getItems,2,True,True,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
load,1,True,False,True,True,False
onmessage,2,True,False,True,False,False
