Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
onopen,2,True,True,True,False,False
onmessage,2,True,False,True,False,False
onclose,2,True,True,True,False,False
onerror,2,True,False,True,False,False
onload,2,True,False,True,False,False
onerror,2,True,False,True,False,False
ondatachannel,3,True,False,True,False,False
onicecandidate,3,True,False,True,False,False
onicecandidateerror,4,True,False,True,False,False
onconnectionstatechange,4,True,True,True,False,False
oniceconnectionstatechange,5,True,True,True,False,False
onopen,2,True,True,True,False,False
onerror,2,True,False,True,False,False
onmessage,2,True,False,True,False,False
onclose,2,True,True,True,False,False
B,1,True,False,False,False,False
d,1,True,False,False,True,False
r,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
o,1,True,False,False,True,False
A,1,True,False,False,False,False
C,1,True,False,False,False,False
Q,1,True,True,False,False,False
B,1,True,False,False,False,False
A,1,True,False,False,False,False
QR8bitByte,4,True,False,False,False,False
QRCodeModel,3,True,False,True,False,False
createData,2,True,True,True,True,False
createBytes,2,True,True,True,True,False
QRPolynomial,2,True,False,True,False,False
QRRSBlock,2,False,True,True,False,False
QRBitBuffer,3,True,False,True,False,False
getRSBlocks,3,True,True,True,True,False
getRsBlockTable,4,True,True,True,True,False
QRCode,2,True,False,True,False,False
svg,1,False,False,True,True,False
save,1,True,True,True,True,False
setModeToDark,4,True,True,True,True,False
setModeToLight,4,True,True,True,True,False
setModeToAuto,4,True,True,True,True,False
_isSameBrowser,3,True,False,True,True,False
_callback,1,True,False,True,True,False
_callbackInput,2,True,False,True,True,False
_callbackClickSleep,3,True,True,True,True,False
_callbackTouchStartSleep,4,True,True,True,True,False
_callbackDrop,2,True,True,True,True,False
_callbackDragEnd,3,True,True,True,True,False
_callbackDragLeave,3,True,True,True,True,False
_callbackDragOver,3,True,True,True,True,False
_callbackContextMenu,3,True,False,True,True,False
_callbackTouchStart,3,True,True,True,True,False
_callbackTouchEnd,3,True,True,True,True,False
_callbackPointerDown,3,True,False,True,True,False
onload,2,True,False,True,False,False
onloadeddata,3,True,True,True,False,False
onerror,2,True,False,True,False,False
onclick,2,True,True,True,False,False
onclick,2,True,True,True,False,False
_clickCallback,2,True,True,True,True,False
_inputCallback,2,True,False,True,True,False
visibilitychangeHandler,3,True,True,True,False,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onupgradeneeded,3,True,True,True,False,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onclick,2,True,True,True,False,False
init,1,False,False,True,True,False
onresize,2,True,True,True,False,False
drawCircle,2,True,True,True,True,False
drawCircles,2,True,True,True,True,False
changeFavicon,2,True,True,True,True,False
cyrb53,2,False,True,True,False,False
onlyUnique,2,True,False,True,True,False
getUrlWithoutArguments,4,False,True,True,True,False
fromNetwork,2,True,False,True,True,False
fromCache,2,True,False,True,True,False
update,1,True,True,True,True,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
evaluateRequestData,3,True,True,True,True,False
onopen,2,True,True,True,False,False
onmessage,2,True,False,True,False,False
onclose,2,True,True,True,False,False
onerror,2,True,False,True,False,False
onload,2,True,False,True,False,False
onerror,2,True,False,True,False,False
ondatachannel,3,True,False,True,False,False
onicecandidate,3,True,False,True,False,False
onicecandidateerror,4,True,False,True,False,False
onconnectionstatechange,4,True,True,True,False,False
oniceconnectionstatechange,5,True,True,True,False,False
onopen,2,True,True,True,False,False
onerror,2,True,False,True,False,False
onmessage,2,True,False,True,False,False
onclose,2,True,True,True,False,False
B,1,True,False,False,False,False
d,1,True,False,False,True,False
r,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
o,1,True,False,False,True,False
A,1,True,False,False,False,False
C,1,True,False,False,False,False
Q,1,True,True,False,False,False
B,1,True,False,False,False,False
A,1,True,False,False,False,False
QR8bitByte,4,True,False,False,False,False
QRCodeModel,3,True,False,True,False,False
createData,2,True,True,True,True,False
createBytes,2,True,True,True,True,False
QRPolynomial,2,True,False,True,False,False
QRRSBlock,2,False,True,True,False,False
QRBitBuffer,3,True,False,True,False,False
getRSBlocks,3,True,True,True,True,False
getRsBlockTable,4,True,True,True,True,False
QRCode,2,True,False,True,False,False
svg,1,False,False,True,True,False
save,1,True,True,True,True,False
setModeToDark,4,True,True,True,True,False
setModeToLight,4,True,True,True,True,False
setModeToAuto,4,True,True,True,True,False
_isSameBrowser,3,True,False,True,True,False
_callback,1,True,False,True,True,False
_callbackInput,2,True,False,True,True,False
_callbackClickSleep,3,True,True,True,True,False
_callbackTouchStartSleep,4,True,True,True,True,False
_callbackDrop,2,True,True,True,True,False
_callbackDragEnd,3,True,True,True,True,False
_callbackDragLeave,3,True,True,True,True,False
_callbackDragOver,3,True,True,True,True,False
_callbackContextMenu,3,True,False,True,True,False
_callbackTouchStart,3,True,True,True,True,False
_callbackTouchEnd,3,True,True,True,True,False
_callbackPointerDown,3,True,False,True,True,False
onload,2,True,False,True,False,False
onloadeddata,3,True,True,True,False,False
onerror,2,True,False,True,False,False
onclick,2,True,True,True,False,False
onclick,2,True,True,True,False,False
_clickCallback,2,True,True,True,True,False
_inputCallback,2,True,False,True,True,False
visibilitychangeHandler,3,True,True,True,False,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onupgradeneeded,3,True,True,True,False,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onclick,2,True,True,True,False,False
init,1,False,False,True,True,False
onresize,2,True,True,True,False,False
drawCircle,2,True,True,True,True,False
drawCircles,2,True,True,True,True,False
changeFavicon,2,True,True,True,True,False
cyrb53,2,False,True,True,False,False
onlyUnique,2,True,False,True,True,False
getUrlWithoutArguments,4,False,True,True,True,False
arrayBufferToBase64,4,True,True,True,True,False
base64ToArrayBuffer,4,True,True,True,True,False
fromNetwork,2,True,False,True,True,False
fromCache,2,True,False,True,True,False
update,1,True,True,True,True,False
onsuccess,2,True,False,True,False,False
onsuccess,2,True,False,True,False,False
onerror,2,True,False,True,False,False
evaluateRequestData,3,True,True,True,True,False
