Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
initializeOperations,2,True,False,True,True,False
destroyOperationBuffers,3,True,True,True,True,False
clearOperationCache,3,True,False,True,True,False
destroyOperations,2,True,True,True,True,False
fetchBin,2,True,True,True,True,False
wgSize,2,False,False,True,True,False
sampleFromDistribution,3,True,False,True,True,False
cpuSoftmax,2,False,False,True,True,False
selectTopK,3,True,False,False,True,False
zeros,1,True,False,True,True,False
transpose,1,True,True,True,True,False
leastPrimeFactor,3,True,False,True,True,False
formatAsMatrix,3,True,True,True,True,False
quantizeMatrix,2,True,True,True,True,False
dequantizeMatrix,2,False,True,True,True,False
multiplyMatrices,2,True,True,True,True,False
run,1,True,True,True,True,False
runGPTValidation,3,False,True,True,True,False
validateResult,2,True,True,True,True,False
reshapeRecursively,2,True,False,True,True,False
loadValidateModel,3,True,False,True,True,False
checkAlmostEqualMatrices,4,True,True,True,True,False
formatAsMatrix,3,True,True,True,True,False
runValidation,2,True,True,True,True,False
validateAgainstModel,3,True,True,True,True,False
