Repo Name,Total Adhered,Total Method Count,Percent,Experience,Size
30-Days-Of-React,58,58,100.0,6.3,8.0
500lines,1638,1834,89.3,12.1,56.0
a1111-sd-webui-tagcomplete,12,14,85.7,5.5,20.0
absurd-sql,67,107,62.6,11.5,4.0
Administrative-divisions-of-China,18,21,85.7,8.6,7.0
adrenaline,27,27,100.0,4.9,7.0
aframe,5710,7013,81.4,10.5,100.0
AgentVerse,2924,3289,88.9,5.2,10.0
AI-Expert-Roadmap,1,1,100.0,6.8,9.0
algorithm-visualizer,22,30,73.3,8.5,24.0
aliyundriveDailyCheck,5,8,62.5,7.0,5.0
amazeui,1489,1691,88.1,10.2,24.0
amphtml,7748,8623,89.9,10.0,100.0
anime,915,1095,83.6,10.3,43.0
AnotherRedisDesktopManager,15,15,100.0,7.0,27.0
anything-llm,37,39,94.9,10.3,15.0
aos,29,30,96.7,9.7,18.0
apexcharts.js,2444,2670,91.5,7.9,100.0
atrilabs-engine,4213,4697,89.7,3.8,18.0
audiobookshelf,1843,2180,84.5,7.7,80.0
Auto-GPT,2457,5644,43.5,7.5,100.0
automerge-classic,211,217,97.2,11.3,60.0
AutoPiano,406,458,88.6,9.0,1.0
ava,52,52,100.0,10.7,100.0
Awesome-Design-Tools,42,50,84.0,8.7,100.0
awesome-vscode,1,1,100.0,9.5,100.0
axios,708,857,82.6,9.8,100.0
backend-GPT,17,20,85.0,4.5,4.0
beautiful-react-hooks,51,51,100.0,8.2,48.0
BioDrop,123,125,98.4,3.2,100.0
BITB,33,33,100.0,4.5,2.0
bluebird,1760,2180,80.7,12.0,100.0
BoostNote-Legacy,405,439,92.3,8.9,100.0
BrasilAPI,118,123,95.9,7.0,64.0
brave-browser,7,7,100.0,8.2,86.0
browser-fingerprinting,61,76,80.3,8.3,3.0
browser-sync,1440,1524,94.5,11.4,88.0
bud,17,20,85.0,7.6,15.0
bypass-paywalls-chrome,19,22,86.4,9.3,51.0
carbon,194,205,94.6,8.8,100.0
carlo,35,39,89.7,10.2,20.0
chalk,3,6,50.0,11.0,56.0
chart.xkcd,8,8,100.0,8.4,15.0
charts,158,179,88.3,8.1,48.0
ChatALL,4,4,100.0,7.1,27.0
chatgpt-chrome-extension,2,2,100.0,6.7,6.0
chatGPTBox,4,7,57.1,6.2,20.0
chinese-independent-blogs,1,2,50.0,6.2,100.0
chinese-poetry,24,24,100.0,7.5,54.0
chinese-programmer-wrong-pronunciation,28,36,77.8,8.7,83.0
ChineseBQB,1158,1274,90.9,5.8,22.0
ChromeAppHeroes,32832,36712,89.4,8.7,3.0
Cider,6690,7374,90.7,5.3,96.0
city-roads,69,72,95.8,13.0,1.0
Clash-for-Windows_Chinese,45,50,90.0,2.0,1.0
Clash_Chinese_Patch,244,278,87.8,5.3,3.0
classnames,19,26,73.1,10.8,41.0
cleave.js,20069,30046,66.8,10.0,67.0
clipboard.js,88,97,90.7,10.8,53.0
cnn-explainer,64,83,77.1,8.0,5.0
core-js,1746,1918,91.0,10.0,100.0
covid19india-react,30,37,81.1,8.1,100.0
create-react-app,167,176,94.9,11.0,100.0
CyberChef,15,17,88.2,9.1,100.0
cypress,1357,1499,90.5,9.3,100.0
d2-admin,3465,3983,87.0,8.2,18.0
dayjs,192,195,98.5,9.0,100.0
decap-cms,386,405,95.3,9.5,100.0
DeepLearning-500-questions,214,236,90.7,7.2,100.0
dev-sidecar,163,179,91.1,7.7,3.0
diffusionbee-stable-diffusion-ui,32,37,86.5,8.9,17.0
docsify,120,123,97.6,8.9,100.0
docs,320,353,90.7,7.5,100.0
dotenv,17,19,89.5,10.0,71.0
downshift,59,61,96.7,10.0,100.0
draft-js,63,72,87.5,11.3,100.0
draggable,91,96,94.8,9.3,43.0
dragula,290,335,86.6,11.0,32.0
drawio-desktop,0,2,0.0,9.7,12.0
drawio,53574,61573,87.0,9.7,31.0
drei,1030,1244,82.8,8.5,100.0
